DATE,ConsumedQuantity
2020-01-14,120.0
2020-01-15,119.98335
2020-01-16,120.0
2020-01-17,119.0
2020-01-18,120.0
2020-01-19,120.0
2020-01-20,119.916685
2020-01-21,119.766787
2020-01-22,119.98335
2020-01-23,120.0
2020-01-24,111.0
2020-01-25,118.983353
2020-01-26,119.983353
2020-01-27,120.0
2020-01-28,120.0
2020-01-29,120.0
2020-01-30,119.900072
2020-01-31,119.883411
2020-02-01,119.916765
2020-02-02,119.900058
2020-02-03,120.0
2020-02-04,117.916705
2020-02-05,119.0
2020-02-06,120.0
2020-02-07,120.400028
2020-02-08,119.900058
2020-02-09,119.816783
2020-02-10,119.983353
2020-02-11,120.0
2020-02-12,119.933352
2020-02-13,120.0
2020-02-14,119.983353
2020-02-15,120.0
2020-02-16,120.0
2020-02-17,118.95001
2020-02-18,120.0
2020-02-19,118.0
2020-02-20,120.0
2020-02-21,116.0
2020-02-22,120.0
2020-02-23,120.0
2020-02-24,116.0
2020-02-25,117.0
2020-02-26,118.0
2020-02-27,120.0
2020-02-28,119.983353
2020-02-29,120.0
2020-03-01,119.98335
2020-03-02,117.0
2020-03-03,120.0
2020-03-04,120.0
2020-03-05,120.0
2020-03-06,119.933352
2020-03-07,120.0
2020-03-08,120.0
2020-03-09,119.966686
2020-03-10,120.0
2020-03-11,120.0
2020-03-12,104.933372
2020-03-13,106.950036
2020-03-14,120.0
2020-03-15,120.0
2020-03-16,120.0
2020-03-17,118.050095
2020-03-18,139.95001
2020-03-19,144.0
2020-03-20,127.0
2020-03-21,119.98335
2020-03-22,116.0
2020-03-23,115.0
2020-03-24,116.983353
2020-03-25,146.90001
2020-03-26,172.70020999999994
2020-03-27,468.0
2020-03-28,119.2
2020-03-29,112.73348
2020-03-30,120.41696900000002
2020-03-31,156.400002
2020-04-01,149.200024
2020-04-02,139.883351
2020-04-03,115.86682
2020-04-04,142.0
2020-04-05,140.0
2020-04-06,192.68338
2020-04-07,162.866684
2020-04-08,342.6336860000001
2020-04-09,244.083353
2020-04-10,170.716721
2020-04-11,183.0
2020-04-12,186.0
2020-04-13,177.68366600000002
2020-04-14,379.0
2020-04-15,222.083514
2020-04-16,356.8006159999999
2020-04-17,334.083715
2020-04-18,208.066948
2020-04-19,199.800156
2020-04-20,151.16679
2020-04-21,242.583544
2020-04-22,158.466792
2020-04-23,301.21683
2020-04-24,144.916763
2020-04-25,83.0
2020-04-26,142.0
2020-04-27,191.950039
2020-04-28,199.250024
2020-04-29,203.566738
2020-04-30,148.28335900000002
2020-05-01,143.46671600000002
2020-05-02,214.966706
2020-05-03,199.466736
2020-05-04,191.983353
2020-05-05,185.966706
2020-05-06,187.93341
2020-05-07,187.83339
2020-05-08,191.816761
2020-05-09,190.0
2020-05-10,191.066866
2020-05-11,182.86682
2020-05-12,174.950053
2020-05-13,187.983353
